model,dataset,instance_id,step_idx,n_steps,step_position_normalized,binary_faithful,delta_p,initial_correct_prob,post_correct_prob,initial_prediction_correct,lr,efficacy_epoch
LLaMA-3-3B,arc-challenge,Mercury_7011323,0,4,0.0,False,0.1712424792967877,0.22469614524841605,0.05345366595162834,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_415473,0,4,0.0,True,0.03937311118702835,0.44204419632604613,0.4026710851390178,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_405136,0,8,0.0,False,-0.0021174967471166983,0.9977928232176728,0.9999103199647895,True,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_2003_8_pg80,0,9,0.0,True,0.9586478413342443,0.9981821722551537,0.03953433092090946,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_414504,0,7,0.0,False,0.3514245522048238,0.9527510918355427,0.6013265396307189,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7186568,0,4,0.0,False,0.2807969645504681,0.9750200600746558,0.6942230955241877,True,3e-05,5
LLaMA-3-3B,arc-challenge,MDSA_2007_8_3,0,13,0.0,False,-0.20090437810182893,0.6193567969483477,0.8202611750501766,True,3e-05,4
LLaMA-3-3B,arc-challenge,ACTAAP_2014_7_13,0,5,0.0,False,-0.1268128273735296,0.8508659231285906,0.9776787505021202,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7011323,0,4,0.0,False,0.1712424792967877,0.22469614524841605,0.05345366595162834,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_415473,0,4,0.0,True,0.03937311118702835,0.44204419632604613,0.4026710851390178,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7011323,0,4,0.0,False,0.1712424792967877,0.22469614524841605,0.05345366595162834,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_415473,0,4,0.0,True,0.03937311118702835,0.44204419632604613,0.4026710851390178,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_405136,0,8,0.0,False,-0.0021174967471166983,0.9977928232176728,0.9999103199647895,True,3e-05,4
LLaMA-3-3B,arc-challenge,TIMSS_2003_8_pg80,0,9,0.0,True,0.9586478413342443,0.9981821722551537,0.03953433092090946,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_414504,0,7,0.0,False,0.3514245522048238,0.9527510918355427,0.6013265396307189,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_7186568,0,4,0.0,False,0.2807969645504681,0.9750200600746558,0.6942230955241877,True,3e-05,5
LLaMA-3-3B,arc-challenge,MDSA_2007_8_3,0,13,0.0,False,-0.20090437810182893,0.6193567969483477,0.8202611750501766,True,3e-05,4
LLaMA-3-3B,arc-challenge,ACTAAP_2014_7_13,0,5,0.0,False,-0.1268128273735296,0.8508659231285906,0.9776787505021202,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_417147,0,7,0.0,True,-0.07679266145768593,0.31132807068131196,0.3881207321389979,False,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_402216,0,10,0.0,False,0.018712119796948534,0.992842124268685,0.9741300044717365,True,3e-05,2
LLaMA-3-3B,arc-challenge,AKDE&ED_2008_4_26,0,9,0.0,True,0.15995009658968967,0.16008351244642688,0.0001334158567372078,False,3e-05,3
LLaMA-3-3B,arc-challenge,MCAS_2006_9_43,0,4,0.0,False,-0.05688955635342691,0.22604375218272643,0.28293330853615334,False,3e-05,4
LLaMA-3-3B,arc-challenge,NCEOGA_2013_5_20,0,4,0.0,True,0.8404950885831013,0.8436087201207109,0.003113631537609622,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_400440,0,7,0.0,True,0.4381803943407069,0.5673840790021649,0.12920368466145807,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_SC_400578,0,5,0.0,False,-0.13010506902198687,0.008395026213017309,0.13850009523500417,False,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7044328,0,5,0.0,False,-0.01382691536473546,0.9852278275548249,0.9990547429195603,True,3e-05,3
LLaMA-3-3B,arc-challenge,Mercury_416650,0,11,0.0,True,0.8647662007700769,0.8784333327283337,0.013667131958256796,True,3e-05,4
LLaMA-3-3B,arc-challenge,MDSA_2007_5_2,0,6,0.0,True,0.48527829566099523,0.6167397710139488,0.13146147535295363,True,3e-05,5
LLaMA-3-3B,arc-challenge,NYSEDREGENTS_2015_4_26,0,3,0.0,False,0.01635634305314948,0.9985025430536411,0.9821462000004916,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_175385,0,7,0.0,True,0.5947809319142063,0.8287385598138342,0.23395762789962785,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_7212818,0,9,0.0,True,-0.9327774955131428,0.06721529812628621,0.9999927936394291,False,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_402120,0,6,0.0,False,-0.17786106489562292,0.8219076368204863,0.9997687017161092,True,3e-05,4
LLaMA-3-3B,arc-challenge,Mercury_7132020,0,9,0.0,True,0.4383615743709447,0.5372303980381089,0.09886882366716424,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_408568,0,7,0.0,False,0.0666230244627587,0.6828997389083824,0.6162767144456237,True,3e-05,5
LLaMA-3-3B,arc-challenge,Mercury_SC_400062,0,5,0.0,False,0.34234800473277405,0.9880366359986679,0.6456886312658938,True,3e-05,4
