instance_id,model,dataset,coherence,plausibility,completeness,composite_score
Mercury_7011323,LLaMA-3-8B,arc-challenge,3,4,1,2.6667
Mercury_SC_415473,LLaMA-3-8B,arc-challenge,1,1,1,1.0
Mercury_405136,LLaMA-3-8B,arc-challenge,5,5,3,4.3333
TIMSS_2003_8_pg80,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_414504,LLaMA-3-8B,arc-challenge,3,3,2,2.6667
Mercury_7186568,LLaMA-3-8B,arc-challenge,5,5,4,4.6667
MDSA_2007_8_3,LLaMA-3-8B,arc-challenge,5,5,4,4.6667
ACTAAP_2014_7_13,LLaMA-3-8B,arc-challenge,5,5,3,4.3333
Mercury_417147,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
Mercury_402216,LLaMA-3-8B,arc-challenge,4,4,3,3.6667
AKDE&ED_2008_4_26,LLaMA-3-8B,arc-challenge,2,2,3,2.3333
MCAS_2006_9_43,LLaMA-3-8B,arc-challenge,5,5,5,5.0
NCEOGA_2013_5_20,LLaMA-3-8B,arc-challenge,3,3,3,3.0
Mercury_400440,LLaMA-3-8B,arc-challenge,3,4,1,2.6667
Mercury_SC_400578,LLaMA-3-8B,arc-challenge,3,2,2,2.3333
Mercury_7044328,LLaMA-3-8B,arc-challenge,5,5,4,4.6667
Mercury_416650,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
MDSA_2007_5_2,LLaMA-3-8B,arc-challenge,5,5,3,4.3333
NYSEDREGENTS_2015_4_26,LLaMA-3-8B,arc-challenge,3,3,1,2.3333
Mercury_175385,LLaMA-3-8B,arc-challenge,4,4,3,3.6667
Mercury_7212818,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
Mercury_SC_402120,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_7132020,LLaMA-3-8B,arc-challenge,3,4,1,2.6667
Mercury_SC_408568,LLaMA-3-8B,arc-challenge,3,4,2,3.0
Mercury_SC_400062,LLaMA-3-8B,arc-challenge,4,4,2,3.3333
Mercury_SC_408547,LLaMA-3-8B,arc-challenge,3,4,1,2.6667
Mercury_7012740,LLaMA-3-8B,arc-challenge,2,2,2,2.0
Mercury_SC_417677,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_SC_401357,LLaMA-3-8B,arc-challenge,5,5,3,4.3333
MCAS_2003_8_31,LLaMA-3-8B,arc-challenge,5,5,5,5.0
MSA_2012_5_23,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_SC_409139,LLaMA-3-8B,arc-challenge,5,5,4,4.6667
Mercury_7086748,LLaMA-3-8B,arc-challenge,4,4,2,3.3333
Mercury_7175875,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
Mercury_7009993,LLaMA-3-8B,arc-challenge,4,4,3,3.6667
Mercury_415086,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_SC_401792,LLaMA-3-8B,arc-challenge,2,4,1,2.3333
Mercury_7093958,LLaMA-3-8B,arc-challenge,3,3,3,3.0
Mercury_415303,LLaMA-3-8B,arc-challenge,2,2,2,2.0
Mercury_SC_400402,LLaMA-3-8B,arc-challenge,2,2,2,2.0
Mercury_180005,LLaMA-3-8B,arc-challenge,3,4,2,3.0
Mercury_7174213,LLaMA-3-8B,arc-challenge,4,4,3,3.6667
LEAP_2005_8_10404,LLaMA-3-8B,arc-challenge,3,4,1,2.6667
Mercury_7011130,LLaMA-3-8B,arc-challenge,2,2,3,2.3333
Mercury_7212398,LLaMA-3-8B,arc-challenge,3,3,1,2.3333
MCAS_2006_8_1,LLaMA-3-8B,arc-challenge,5,5,3,4.3333
Mercury_SC_400057,LLaMA-3-8B,arc-challenge,3,4,2,3.0
MCAS_2006_9_12,LLaMA-3-8B,arc-challenge,4,2,3,3.0
Mercury_SC_415762,LLaMA-3-8B,arc-challenge,4,4,2,3.3333
Mercury_7064575,LLaMA-3-8B,arc-challenge,4,3,3,3.3333
Mercury_7136885,LLaMA-3-8B,arc-challenge,3,3,1,2.3333
Mercury_SC_401766,LLaMA-3-8B,arc-challenge,5,5,5,5.0
Mercury_7016800,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
MCAS_2014_5_7,LLaMA-3-8B,arc-challenge,3,3,3,3.0
Mercury_SC_407400,LLaMA-3-8B,arc-challenge,2,2,1,1.6667
NYSEDREGENTS_2008_8_34,LLaMA-3-8B,arc-challenge,5,5,4,4.6667
