instance_id,model,dataset,coherence,plausibility,completeness,composite_score
Mercury_7011323,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_415473,Mistral-7B,arc-challenge,2,1,1,1.3333
Mercury_405136,Mistral-7B,arc-challenge,5,5,5,5.0
TIMSS_2003_8_pg80,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_414504,Mistral-7B,arc-challenge,3,3,1,2.3333
Mercury_7186568,Mistral-7B,arc-challenge,5,5,4,4.6667
MDSA_2007_8_3,Mistral-7B,arc-challenge,3,4,2,3.0
ACTAAP_2014_7_13,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_417147,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_402216,Mistral-7B,arc-challenge,5,5,4,4.6667
AKDE&ED_2008_4_26,Mistral-7B,arc-challenge,2,3,1,2.0
MCAS_2006_9_43,Mistral-7B,arc-challenge,2,1,3,2.0
NCEOGA_2013_5_20,Mistral-7B,arc-challenge,2,2,3,2.3333
Mercury_400440,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_400578,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7044328,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_416650,Mistral-7B,arc-challenge,2,2,1,1.6667
MDSA_2007_5_2,Mistral-7B,arc-challenge,5,5,4,4.6667
NYSEDREGENTS_2015_4_26,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_175385,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7212818,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_SC_402120,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_7132020,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_408568,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_SC_400062,Mistral-7B,arc-challenge,4,4,2,3.3333
Mercury_SC_408547,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7012740,Mistral-7B,arc-challenge,2,3,2,2.3333
Mercury_SC_417677,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_SC_401357,Mistral-7B,arc-challenge,3,4,1,2.6667
MCAS_2003_8_31,Mistral-7B,arc-challenge,3,3,2,2.6667
MSA_2012_5_23,Mistral-7B,arc-challenge,4,5,4,4.3333
Mercury_SC_409139,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_7086748,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7175875,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_7009993,Mistral-7B,arc-challenge,3,3,2,2.6667
Mercury_415086,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_401792,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7093958,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_415303,Mistral-7B,arc-challenge,3,3,1,2.3333
Mercury_SC_400402,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_180005,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7174213,Mistral-7B,arc-challenge,4,4,3,3.6667
LEAP_2005_8_10404,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7011130,Mistral-7B,arc-challenge,2,2,2,2.0
Mercury_7212398,Mistral-7B,arc-challenge,2,2,1,1.6667
MCAS_2006_8_1,Mistral-7B,arc-challenge,5,5,3,4.3333
Mercury_SC_400057,Mistral-7B,arc-challenge,3,4,1,2.6667
MCAS_2006_9_12,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_SC_415762,Mistral-7B,arc-challenge,4,4,2,3.3333
Mercury_7064575,Mistral-7B,arc-challenge,4,4,4,4.0
Mercury_7136885,Mistral-7B,arc-challenge,4,3,3,3.3333
Mercury_SC_401766,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7016800,Mistral-7B,arc-challenge,3,4,2,3.0
MCAS_2014_5_7,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_SC_407400,Mistral-7B,arc-challenge,2,2,2,2.0
NYSEDREGENTS_2008_8_34,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_414099,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7137165,Mistral-7B,arc-challenge,3,3,1,2.3333
ACTAAP_2011_5_16,Mistral-7B,arc-challenge,5,5,4,4.6667
MEA_2010_8_1,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_415093,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_412374,Mistral-7B,arc-challenge,3,4,1,2.6667
MEAP_2005_8_21,Mistral-7B,arc-challenge,4,4,1,3.0
Mercury_407327,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_407610,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7068513,Mistral-7B,arc-challenge,3,3,2,2.6667
ACTAAP_2014_5_8,Mistral-7B,arc-challenge,1,1,1,1.0
TAKS_2009_5_26,Mistral-7B,arc-challenge,2,2,1,1.6667
FCAT_2008_5_2,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_416529,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_185010,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_401277,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_406550,Mistral-7B,arc-challenge,2,1,2,1.6667
Mercury_402501,Mistral-7B,arc-challenge,5,5,4,4.6667
ACTAAP_2009_7_8,Mistral-7B,arc-challenge,3,4,1,2.6667
MCAS_2005_5_25,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7013965,Mistral-7B,arc-challenge,1,1,1,1.0
Mercury_SC_400383,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_178325,Mistral-7B,arc-challenge,4,4,2,3.3333
Mercury_180373,Mistral-7B,arc-challenge,4,5,3,4.0
Mercury_7171605,Mistral-7B,arc-challenge,3,4,1,2.6667
TIMSS_1995_8_J1,Mistral-7B,arc-challenge,4,5,3,4.0
Mercury_SC_401272,Mistral-7B,arc-challenge,4,4,2,3.3333
Mercury_7058415,Mistral-7B,arc-challenge,2,2,1,1.6667
AKDE&ED_2008_8_53,Mistral-7B,arc-challenge,3,3,2,2.6667
Mercury_409115,Mistral-7B,arc-challenge,2,2,2,2.0
MCAS_2014_8_20,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7026355,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_7218820,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_405947,Mistral-7B,arc-challenge,4,5,3,4.0
TAKS_2009_8_32,Mistral-7B,arc-challenge,4,4,2,3.3333
AIMS_2008_8_6,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_SC_400059,Mistral-7B,arc-challenge,4,4,3,3.6667
Mercury_7056858,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_400701,Mistral-7B,arc-challenge,5,5,4,4.6667
TIMSS_2003_4_pg7,Mistral-7B,arc-challenge,3,3,1,2.3333
Mercury_406777,Mistral-7B,arc-challenge,5,5,3,4.3333
MEA_2016_8_12,Mistral-7B,arc-challenge,3,4,2,3.0
TIMSS_2011_8_pg102,Mistral-7B,arc-challenge,5,5,4,4.6667
MDSA_2009_8_2,Mistral-7B,arc-challenge,5,5,1,3.6667
Mercury_402145,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_416155,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_SC_413299,Mistral-7B,arc-challenge,2,3,1,2.0
AIMS_2009_4_5,Mistral-7B,arc-challenge,5,3,4,4.0
Mercury_7263375,Mistral-7B,arc-challenge,3,3,1,2.3333
Mercury_7029803,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7168805,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_410669,Mistral-7B,arc-challenge,2,2,2,2.0
Mercury_7215845,Mistral-7B,arc-challenge,2,2,2,2.0
Mercury_400699,Mistral-7B,arc-challenge,3,3,2,2.6667
MEAP_2005_8_39,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7247013,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_7216248,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7057173,Mistral-7B,arc-challenge,4,4,3,3.6667
Mercury_SC_405533,Mistral-7B,arc-challenge,5,5,5,5.0
LEAP_2000_8_4,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_7186358,Mistral-7B,arc-challenge,5,5,4,4.6667
MCAS_2004_9_15-v1,Mistral-7B,arc-challenge,4,5,3,4.0
AKDE&ED_2008_8_47,Mistral-7B,arc-challenge,3,3,2,2.6667
NYSEDREGENTS_2015_4_29,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7099330,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_409301,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_SC_405726,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_SC_401818,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_7016765,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7086695,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_400500,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_410807,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7210473,Mistral-7B,arc-challenge,4,5,3,4.0
Mercury_7107170,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_7206938,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_SC_400708,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7228725,Mistral-7B,arc-challenge,4,5,4,4.3333
TIMSS_2007_8_pg60,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_7027160,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7109463,Mistral-7B,arc-challenge,3,4,1,2.6667
TIMSS_2011_4_pg27,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_7103600,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7166425,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_412202,Mistral-7B,arc-challenge,3,4,3,3.3333
TAKS_2009_8_36,Mistral-7B,arc-challenge,2,2,2,2.0
Mercury_7141610,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_415407,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7249708,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7024465,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7212678,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_SC_406725,Mistral-7B,arc-challenge,3,4,2,3.0
Mercury_409647,Mistral-7B,arc-challenge,5,5,3,4.3333
Mercury_LBS11018,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7139878,Mistral-7B,arc-challenge,2,2,1,1.6667
NYSEDREGENTS_2010_4_4,Mistral-7B,arc-challenge,5,3,3,3.6667
Mercury_7210245,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_400407,Mistral-7B,arc-challenge,3,5,2,3.3333
AKDE&ED_2008_4_25,Mistral-7B,arc-challenge,5,5,3,4.3333
Mercury_7212993,Mistral-7B,arc-challenge,2,3,1,2.0
Mercury_7097493,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7270393,Mistral-7B,arc-challenge,3,2,1,2.0
Mercury_7201740,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_SC_414041,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7182245,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_SC_401366,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_412681,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7102323,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_407260,Mistral-7B,arc-challenge,4,5,2,3.6667
Mercury_7250058,Mistral-7B,arc-challenge,4,5,3,4.0
Mercury_SC_401278,Mistral-7B,arc-challenge,5,5,3,4.3333
NYSEDREGENTS_2008_8_30,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7084665,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_400687,Mistral-7B,arc-challenge,3,3,2,2.6667
Mercury_SC_401290,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7043820,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_401116,Mistral-7B,arc-challenge,3,4,2,3.0
MCAS_2005_9_17,Mistral-7B,arc-challenge,3,3,2,2.6667
AKDE&ED_2008_8_7,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_405873,Mistral-7B,arc-challenge,2,2,1,1.6667
MDSA_2009_5_20,Mistral-7B,arc-challenge,1,1,1,1.0
Mercury_7215828,Mistral-7B,arc-challenge,3,3,1,2.3333
Mercury_7093153,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_7234308,Mistral-7B,arc-challenge,4,4,2,3.3333
MCAS_2003_5_33,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7127943,Mistral-7B,arc-challenge,4,4,3,3.6667
Mercury_401699,Mistral-7B,arc-challenge,2,2,3,2.3333
LEAP_2007_8_10417,Mistral-7B,arc-challenge,5,5,3,4.3333
Mercury_SC_409171,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_7235638,Mistral-7B,arc-challenge,4,4,3,3.6667
Mercury_406136,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_SC_405086,Mistral-7B,arc-challenge,3,3,2,2.6667
TIMSS_2007_8_pg109,Mistral-7B,arc-challenge,5,5,4,4.6667
MCAS_2003_8_11,Mistral-7B,arc-challenge,5,5,5,5.0
MCAS_2005_5_34,Mistral-7B,arc-challenge,5,5,5,5.0
Mercury_400877,Mistral-7B,arc-challenge,2,2,1,1.6667
Mercury_7252088,Mistral-7B,arc-challenge,3,4,1,2.6667
Mercury_403234,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_404894,Mistral-7B,arc-challenge,5,5,4,4.6667
Mercury_7221655,Mistral-7B,arc-challenge,4,4,3,3.6667
Mercury_SC_402029,Mistral-7B,arc-challenge,3,3,3,3.0
Mercury_7034843,Mistral-7B,arc-challenge,4,4,2,3.3333
Mercury_7094290,Mistral-7B,arc-challenge,3,4,2,3.0
