instance_id,model,dataset,coherence,plausibility,completeness,composite_score
Mercury_7011323,Phi-3,arc-challenge,3,4,2,3.0
Mercury_SC_415473,Phi-3,arc-challenge,3,2,1,2.0
Mercury_405136,Phi-3,arc-challenge,3,4,2,3.0
TIMSS_2003_8_pg80,Phi-3,arc-challenge,5,5,3,4.3333
Mercury_414504,Phi-3,arc-challenge,5,5,5,5.0
Mercury_7186568,Phi-3,arc-challenge,4,4,2,3.3333
MDSA_2007_8_3,Phi-3,arc-challenge,5,5,4,4.6667
ACTAAP_2014_7_13,Phi-3,arc-challenge,3,4,2,3.0
Mercury_417147,Phi-3,arc-challenge,2,2,1,1.6667
Mercury_402216,Phi-3,arc-challenge,4,4,2,3.3333
AKDE&ED_2008_4_26,Phi-3,arc-challenge,5,5,1,3.6667
MCAS_2006_9_43,Phi-3,arc-challenge,5,5,5,5.0
NCEOGA_2013_5_20,Phi-3,arc-challenge,5,5,5,5.0
Mercury_400440,Phi-3,arc-challenge,5,5,5,5.0
Mercury_SC_400578,Phi-3,arc-challenge,2,2,1,1.6667
Mercury_7044328,Phi-3,arc-challenge,5,5,4,4.6667
Mercury_416650,Phi-3,arc-challenge,2,2,1,1.6667
MDSA_2007_5_2,Phi-3,arc-challenge,5,5,5,5.0
NYSEDREGENTS_2015_4_26,Phi-3,arc-challenge,4,4,3,3.6667
Mercury_175385,Phi-3,arc-challenge,4,5,3,4.0
Mercury_7212818,Phi-3,arc-challenge,3,3,1,2.3333
Mercury_SC_402120,Phi-3,arc-challenge,5,5,5,5.0
Mercury_7132020,Phi-3,arc-challenge,5,5,5,5.0
Mercury_SC_408568,Phi-3,arc-challenge,5,5,3,4.3333
Mercury_SC_400062,Phi-3,arc-challenge,4,4,1,3.0
Mercury_SC_408547,Phi-3,arc-challenge,5,5,3,4.3333
Mercury_7012740,Phi-3,arc-challenge,4,4,3,3.6667
Mercury_SC_417677,Phi-3,arc-challenge,5,5,5,5.0
Mercury_SC_401357,Phi-3,arc-challenge,4,4,2,3.3333
MCAS_2003_8_31,Phi-3,arc-challenge,3,3,3,3.0
MSA_2012_5_23,Phi-3,arc-challenge,5,5,2,4.0
Mercury_SC_409139,Phi-3,arc-challenge,4,4,2,3.3333
Mercury_7086748,Phi-3,arc-challenge,3,4,2,3.0
Mercury_7175875,Phi-3,arc-challenge,5,5,4,4.6667
Mercury_7009993,Phi-3,arc-challenge,5,5,4,4.6667
Mercury_415086,Phi-3,arc-challenge,5,5,5,5.0
Mercury_SC_401792,Phi-3,arc-challenge,5,5,5,5.0
Mercury_7093958,Phi-3,arc-challenge,4,5,3,4.0
Mercury_415303,Phi-3,arc-challenge,3,4,1,2.6667
Mercury_SC_400402,Phi-3,arc-challenge,5,5,5,5.0
Mercury_180005,Phi-3,arc-challenge,5,5,3,4.3333
Mercury_7174213,Phi-3,arc-challenge,4,3,3,3.3333
LEAP_2005_8_10404,Phi-3,arc-challenge,4,5,2,3.6667
Mercury_7011130,Phi-3,arc-challenge,3,3,3,3.0
Mercury_7212398,Phi-3,arc-challenge,3,4,1,2.6667
MCAS_2006_8_1,Phi-3,arc-challenge,5,5,3,4.3333
Mercury_SC_400057,Phi-3,arc-challenge,4,4,3,3.6667
MCAS_2006_9_12,Phi-3,arc-challenge,5,5,5,5.0
Mercury_SC_415762,Phi-3,arc-challenge,4,4,1,3.0
Mercury_7064575,Phi-3,arc-challenge,5,5,3,4.3333
